10870042,嘉兴市,嘉善正丰木业有限公司
10870058,嘉兴市,嘉善三鼎包装装潢有限公司
10877206,嘉兴市,嘉善大成化工有限公司
10877288,嘉兴市,嘉善卡尔特塑料制品有限公司
10877324,嘉兴市,嘉善泽溢贸易有限公司
10877336,嘉兴市,嘉善卡尔特塑料制品有限公司
10877412,嘉兴市,浙江双飞无油轴承股份有限公司
10877414,嘉兴市,浙江庄驰实业有限公司
10877482,嘉兴市,嘉善福特来铜套有限公司
10878643,嘉兴市,嘉善杰皓毛绒制品有限责任公司
10878647,嘉兴市,浙江普礼汽配制造有限公司
10878650,嘉兴市,嘉兴仕丰塑胶电子有限公司
10878876,嘉兴市,嘉善县卫生局
10881601,嘉兴市,华豪电缆有限公司
10881602,嘉兴市,金典电器有限公司
10885348,嘉兴市,嘉善新华昌木业有限公司
10885367,嘉兴市,嘉善海峡净水灵化工有限公司
10885415,嘉兴市,嘉善林志电路板有限公司
10885537,嘉兴市,嘉善魏好中商务宾馆
10885539,嘉兴市,嘉善三英灯饰有限公司
10885540,嘉兴市,宝勋精密螺丝浙江有限公司
10885544,嘉兴市,史丹利浙江工业工具有限公司
10886520,嘉兴市,嘉善姚庄嘉豪商务宾馆
10887947,嘉兴市,嘉善县丹妮浓食用菌专业合作社
10887951,嘉兴市,嘉善华诚玻璃钢有限公司
10888109,嘉兴市,嘉善晋加螺丝有限公司
10888111,嘉兴市,中国石化销售有限公司浙江嘉兴石油分公司
10888827,嘉兴市,嘉善亿鑫构件有限公司
10888828,嘉兴市,浙江弘安纸业有限公司
10888829,嘉兴市,嘉善奕帆纸业有限公司
10888831,嘉兴市,嘉善盈丰生物能源有限公司
10889000,嘉兴市,嘉善明珠水泥制管有限公司
10889001,嘉兴市,嘉善超亿紧固件有限公司
10889007,嘉兴市,俞汇加油站内宿舍
10889011,嘉兴市,俞汇加油站边
10889183,嘉兴市,姚庄镇姚庄中学食堂
10889220,嘉兴市,俞汇幼儿园
10889310,嘉兴市,姚庄支局虚拟局
10890419,嘉兴市,嘉善常青木业有限公司
10890433,嘉兴市,杭州华三通信技术有限公司
10890477,嘉兴市,聚能油品有限公司
10890489,嘉兴市,浙江信越精细化工有限公司
10890491,嘉兴市,嘉兴福门纸业有限公司
10890492,嘉兴市,嘉善大澈天然气有限公司
10890495,嘉兴市,嘉善燕华木业有限公司
10890502,嘉兴市,浙江昱辉阳光能源有限公司
10890510,嘉兴市,浙江翔日科技炭素有限公司
10890551,嘉兴市,嘉兴泰特橡胶有限公司
10890567,嘉兴市,艾西复合材料嘉兴有限公司
10890662,嘉兴市,嘉善品诺嘉家具有限公司
10890666,嘉兴市,嘉善声源电子有限公司
10890679,嘉兴市,江苏海通建设工程有限公司
10890681,嘉兴市,县交通局会计核算中心
10890741,嘉兴市,浙江江瑞电子商务有限公司
10890764,嘉兴市,嘉善法兰克尼亚电磁兼容有限公司
10890778,嘉兴市,嘉善奥力科机械制造有限公司
10890782,嘉兴市,嘉善司倍克泵业有限公司
10890801,嘉兴市,浙江嘉善农村合作银行
10890803,嘉兴市,嘉善南星养老服务有限公司
10890809,嘉兴市,嘉兴康溢赢康复科技有限公司
10890810,嘉兴市,浙江明烁节能科技股份有限公司
10890889,嘉兴市,里泽电信488卡电话萤火虫网吧
10890890,嘉兴市,特雷通家具嘉兴有限公司
10890902,嘉兴市,浙江爱迪曼环保科技股份有限公司
10890991,嘉兴市,嘉兴翔兆工艺品有限公司
10891114,嘉兴市,嘉善三佳实业有限公司
10891223,嘉兴市,嘉兴怡亚通怡源供应链管理有限公司
10891274,嘉兴市,嘉善法思达人造毛皮有限公司
10891311,嘉兴市,嘉善兴茂毛纺织染整有限公司
10891324,嘉兴市,嘉善县公安局
10891490,嘉兴市,嘉善盛麒化纤有限公司
10891519,嘉兴市,嘉善赟豪包装材料有限公司
10891523,嘉兴市,浙江浦嘉混凝土制品有限公司
10891527,嘉兴市,干窑镇文化中心便民服务中心
10891530,嘉兴市,嘉善县干窑市场建设有限公司
10891541,嘉兴市,干窑镇人民政府
10891549,嘉兴市,嘉善长远滑动轴承有限公司
10891564,嘉兴市,姚庄镇嘉永木业有限公司
10891567,嘉兴市,嘉兴市路通检测科技有限公司
10891571,嘉兴市,新鹿木业有限公司
10891577,嘉兴市,嘉善宇河电池工业有限公司
10893144,嘉兴市,俞汇镇金星大东王小学内
10893398,嘉兴市,姚庄镇公安局
10893400,嘉兴市,姚庄便民服务中心
10898084,嘉兴市,平湖市保安服务公司
10925476,嘉兴市,于城卫生院大楼
10925478,嘉兴市,信用社大楼
10925480,嘉兴市,供电局工程部大楼
10925481,嘉兴市,于城小学
10925482,嘉兴市,于城幼儿园
10925484,嘉兴市,国土所大楼
10925485,嘉兴市,海城商务宾馆
10925486,嘉兴市,邮政大楼
10925487,嘉兴市,农科站办公大楼
